sp,code,common
1,alfl,Alder Flycatcher
2,amgo,American Goldfinch
3,amro,American Robin
4,bhco,Brown-headed Cowbird
5,bobo,Bobolink
6,brbl,Brewer's Blackbird
7,ccsp,Clay-colored Sparrow
8,cedw,Cedar Waxwing
9,cogr,Common Grackle
10,coye,Common Yellowthroat
11,dick,Dickcissel
12,eaki,Eastern Kingbird
13,fisp,Field Sparrow
14,grca,Gray Catbird
15,grsp,Grasshopper Sparrow
16,howr,House Wren
17,lefl,Least Flycatcher
18,lesp,LeConte's Sparrow
19,mawr,Marsh Wren
20,modo,Mourning Dove
21,rnep,Ring-necked Pheasant
22,rwbl,Red-winged Blackbird
23,savs,Savannah Sparrow
24,sewr,Sedge Wren
25,sosp,Song Sparrow
26,swsp,Swamp Sparrow
27,upsa,Upland Sandpiper
28,veer,Veery
29,wavi,Warbling Vireo
30,weme,Western Meadowlark
31,wifl,Willow Flycatcher
32,wisn,Wilson's Snipe
33,yewa,Yellow Warbler
